Category,Model,Model Year,Manufacturer,Fuel,All Electric Range,Alternative Fuel Economy City,Alternative Fuel Economy Highway,Alternative Fuel Economy Combined,Conventional Fuel Economy City,Conventional Fuel Economy Highway,Conventional Fuel Economy Combined,Transmission Type,Transmission Make,Engine Type,Engine Size,Engine Cylinder Count,Number of Passengers,Heavy-Duty Power System,Notes
Sedan/Wagon,E 450 4MATIC (Convertible),2021,Mercedes-Benz,Hybrid Electric,,,,,23.0,29.0,25.0,Auto,,SI,3.0L,6,,,""
Sedan/Wagon,E 450 4MATIC (Coupe),2021,Mercedes-Benz,Hybrid Electric,,,,,23.0,30.0,25.0,Auto,,SI,3.0L,6,,,""
Sedan/Wagon,E 450 (Convertible),2021,Mercedes-Benz,Hybrid Electric,,,,,23.0,30.0,25.0,Auto,,SI,3.0L,6,,,""
Sedan/Wagon,E 450 (Coupe),2021,Mercedes-Benz,Hybrid Electric,,,,,23.0,31.0,26.0,Auto,,SI,3.0L,6,,,""
SUV,GLE 450 4MATIC,2021,Mercedes-Benz,Hybrid Electric,,,,,21.0,26.0,23.0,Auto,,SI,3.0L,6,,,""
SUV,GLE 580 4MATIC,2021,Mercedes-Benz,Hybrid Electric,,,,,17.0,22.0,19.0,Auto,,SI,4.0L,8,,,""
SUV,GLS 450 4MATIC,2021,Mercedes-Benz,Hybrid Electric,,,,,20.0,24.0,21.0,Auto,,SI,3.0L,6,,,""
SUV,GLS 580 4MATIC,2021,Mercedes-Benz,Hybrid Electric,,,,,16.0,21.0,18.0,Auto,,SI,4.0L,8,,,""
SUV,GLS 600 4MATIC Maybach,2021,Mercedes-Benz,Hybrid Electric,,,,,15.0,19.0,16.0,Auto,,SI,4.0L,8,,,""
Sedan/Wagon,Cooper SE Countryman ALL4,2021,Mini,Plug-in Hybrid Electric,18,,,73.0,29.0,30.0,29.0,Auto,,SI,1.5L,3,,,""
Sedan/Wagon,Cooper SE Hardtop 2 door,2021,Mini,Electric,110,115.0,100.0,108.0,,,,Auto,,e-motor,135 kW electric motor,,,,""
SUV,Outlander PHEV,2021,Mitsubishi,Plug-in Hybrid Electric,24,,,74.0,26.0,26.0,26.0,Auto,,SI,2.4L,4,,,""
Sedan/Wagon,Leaf (40 kWh battery pack),2021,Nissan,Electric,149,123.0,99.0,111.0,,,,Auto,,e-motor,110 kW electric motor,,,,""
Sedan/Wagon,Leaf (62 kWh battery pack),2021,Nissan,Electric,226,118.0,97.0,108.0,,,,Auto,,e-motor,160 kW electric motor,,,,""
Sedan/Wagon,Leaf SV/SL (62 kWh battery pack),2021,Nissan,Electric,215,114.0,94.0,104.0,,,,Auto,,e-motor,160 kW electric motor,,,,""
Sedan/Wagon,Polestar 2,2021,Polestar Automotive USA,Electric,233,,,,96.0,88.0,92.0,Auto,,"","",,,,""
Sedan/Wagon,Polestar I,2021,Polestar Automotive USA,Plug-in Hybrid Electric,52,,,58.0,22.0,31.0,26.0,Auto,,SI,2.0L,4,,,""
SUV,Cayenne e-Hybrid,2021,Porsche,Plug-in Hybrid Electric,17,,,46.0,20.0,22.0,21.0,Auto,,SI,3.0L ,6,,,""
SUV,Cayenne e-Hybrid Coupe,2021,Porsche,Plug-in Hybrid Electric,17,,,46.0,20.0,22.0,21.0,Auto,,SI,3.0L ,6,,,""
SUV,Cayenne Turbo S e-Hybrid,2021,Porsche,Plug-in Hybrid Electric,15,,,42.0,17.0,20.0,18.0,Auto,,SI,4.0L,8,,,""
SUV,Cayenne Turbo S e-Hybrid Coupe,2021,Porsche,Plug-in Hybrid Electric,15,,,42.0,17.0,20.0,18.0,Auto,,SI,4.0L,8,,,""
Sedan/Wagon,Taycan 4S Perf Battery,2021,Porsche,Electric,199,79.0,80.0,79.0,,,,Auto,,e-motor,194 and 280 kW electric motors,,,,""
Sedan/Wagon,Taycan 4S Perf Battery Plus,2021,Porsche,Electric,227,75.0,81.0,77.0,,,,Auto,,e-motor,210 and 250 kW electric motors,,,,""
Sedan/Wagon,Taycan Perf Battery,2021,Porsche,Electric,200,76.0,84.0,79.0,,,,Auto,,e-motor,240 kW electric motor,,,,""
Sedan/Wagon,Taycan Perf Battery Plus,2021,Porsche,Electric,225,71.0,80.0,75.0,,,,Auto,,e-motor,280 kW electric motor,,,,""
Pickup,1500 2WD,2021,Ram,Hybrid Electric,,,,,17.0,23.0,19.0,Auto,,SI,5.7L,8,,,""
Pickup,1500 2WD,2021,Ram,Hybrid Electric,,,,,20.0,25.0,22.0,Auto,,SI,3.6L,6,,,""
Pickup,1500 4WD,2021,Ram,Hybrid Electric,,,,,17.0,22.0,19.0,Auto,,SI,5.7L,8,,,""
Pickup,1500 4WD,2021,Ram,Hybrid Electric,,,,,19.0,24.0,21.0,Auto,,SI,3.6L,6,,,""
Pickup,1500 HFE 4X2,2021,Ram,Hybrid Electric,,,,,20.0,26.0,23.0,Auto,,SI,3.6L,6,,,""
SUV,Crosstrek Hybrid AWD,2021,Subaru,Plug-in Hybrid Electric,17,,,90.0,36.0,35.0,35.0,Auto,,"",2.0L,4,,,""
Sedan/Wagon,Model 3 Long Range AWD,2021,Tesla,Electric,353,141.0,127.0,134.0,,,,Auto,,e-motor,131 and 190 kW electric motors,,,,""
Sedan/Wagon,Model 3 Performance AWD,2021,Tesla,Electric,315,118.0,107.0,113.0,,,,Auto,,e-motor,131 and 190 kW electric motors,,,,""
Sedan/Wagon,Model 3 Standard Range Plus RWD,2021,Tesla,Electric,263,150.0,133.0,142.0,,,,Auto,,e-motor,198 kW electric motor,,,,""
Sedan/Wagon,"Model S Performance (19"" Wheels)",2021,Tesla,Electric,387,114.0,106.0,110.0,,,,Auto,,e-motor,149 kW and 276 kW electric motor,,,,"This model is also available with 21"" wheels, at reduced fuel economy and 334 miles range."
SUV,Model X Long Range Plus,2021,Tesla,Electric,371,109.0,101.0,105.0,,,,Auto,,e-motor,180 and 189 kW electric motor,,,,""
SUV,"Model X Performance (20"" Wheels)",2021,Tesla,Electric,341,100.0,95.0,97.0,,,,Auto,,e-motor,151 and 273 kW electric motors,,,,"This model is also available with 22"" wheels, at reduced fuel economy and 300 miles range."
SUV,Model Y Long Range AWD,2021,Tesla,Electric,326,131.0,117.0,125.0,,,,Auto,,e-motor,69 and 201 kW electric motors,,,,""
SUV,Model Y Performance AWD,2021,Tesla,Electric,303,115.0,106.0,111.0,,,,Auto,,e-motor,133 and 179 kW electric motors,,,,""
Sedan/Wagon,Avalon Hybrid,2021,Toyota,Hybrid Electric,,,,,43.0,43.0,43.0,Auto,,SI,2.5L,4,,,""
Sedan/Wagon,Avalon Hybrid XLE,2021,Toyota,Hybrid Electric,,,,,43.0,44.0,44.0,Auto,,SI,2.5L,4,,,""
Sedan/Wagon,Camry Hybrid LE,2021,Toyota,Hybrid Electric,,,,,51.0,53.0,52.0,Auto,,SI,2.5L,4,,,""
Sedan/Wagon,Camry Hybrid SE/XLE/XSE,2021,Toyota,Hybrid Electric,,,,,44.0,47.0,46.0,Auto,,SI,2.5L,4,,,""
Sedan/Wagon,Corolla Hybrid,2021,Toyota,Hybrid Electric,,,,,53.0,52.0,52.0,Auto,,SI,1.8L,4,,,""
SUV,Highlander Hybrid,2021,Toyota,Hybrid Electric,,,,,36.0,35.0,36.0,Auto,,SI,2.5L,4,,,""
SUV,Highlander Hybrid AWD,2021,Toyota,Hybrid Electric,,,,,35.0,35.0,35.0,Auto,,SI,2.5L,4,,,""
SUV,Highlander Hybrid AWD LTD/PLAT,2021,Toyota,Hybrid Electric,,,,,35.0,34.0,35.0,Auto,,SI,2.5L,4,,,""
Sedan/Wagon,Mirai Limited,2021,Toyota,Hydrogen Fuel Cell,,67.0,64.0,65.0,,,,Auto,,FC,134 kW electric motor,,,,""
Sedan/Wagon,Mirai XLE,2021,Toyota,Hydrogen Fuel Cell,,74.0,70.0,72.0,,,,Auto,,FC,134 kW electric motor,,,,""
Sedan/Wagon,Prius,2021,Toyota,Hybrid Electric,,,,,54.0,50.0,52.0,Auto,,SI,1.8L,4,,,""
Sedan/Wagon,Prius AWD,2021,Toyota,Hybrid Electric,,,,,51.0,47.0,49.0,Auto,,SI,1.8L,4,,,""
Sedan/Wagon,Prius Eco,2021,Toyota,Hybrid Electric,,,,,58.0,53.0,56.0,Auto,,SI,1.8L,4,,,""
Sedan/Wagon,Prius Prime,2021,Toyota,Plug-in Hybrid Electric,25,,,133.0,55.0,53.0,54.0,Auto,,"",1.8L,4,,,""
SUV,RAV4 Hybrid AWD,2021,Toyota,Hybrid Electric,,,,,41.0,38.0,40.0,Auto,,SI,2.5L,4,,,""
Sedan/Wagon,RAV4 Prime AWD,2021,Toyota,Plug-in Hybrid Electric,42,,,94.0,40.0,36.0,38.0,Auto,,"",2.5L,4,,,""
Van,Sienna,2021,Toyota,Hybrid Electric,,,,,36.0,36.0,36.0,Auto,,SI,2.5L,4,,,""
Van,Sienna AWD,2021,Toyota,Hybrid Electric,,,,,35.0,36.0,35.0,Auto,,SI,2.5L,4,,,""
SUV,Venza AWD,2021,Toyota,Hybrid Electric,,,,,40.0,37.0,39.0,Auto,,SI,2.5L,4,,,""
SUV,ID.4 1st,2021,Volkswagen,Electric,250,104.0,89.0,97.0,,,,Auto,,e-motor,150 kW electric motor,,,,""
SUV,ID.4 Pro S,2021,Volkswagen,Electric,250,104.0,89.0,97.0,,,,Auto,,e-motor,150 kW electric motor,,,,""
Sedan/Wagon,S60 AWD,2021,Volvo,Plug-in Hybrid Electric,22,,,69.0,28.0,33.0,30.0,Auto,,SI,2.0L,4,,,""
Sedan/Wagon,S90 AWD,2021,Volvo,Plug-in Hybrid Electric,21,,,60.0,28.0,31.0,30.0,Auto,,SI,2.0L,4,,,""
SUV,V60 AWD,2021,Volvo,Plug-in Hybrid Electric,22,,,69.0,28.0,33.0,30.0,Auto,,SI,2.0L,4,,,""
SUV,XC40 Recharge,2021,Volvo,Electric,208,,,,85.0,72.0,79.0,Auto,,"","",,,,""
SUV,XC60 AWD,2021,Volvo,Plug-in Hybrid Electric,19,,,57.0,26.0,28.0,27.0,Auto,,SI,2.0L,4,,,""
SUV,XC90 AWD,2021,Volvo,Plug-in Hybrid Electric,18,,,55.0,26.0,28.0,27.0,Auto,,SI,2.0L,4,,,""
SUV,MDX AWD,2020,Acura,Hybrid Electric,,,,,26.0,27.0,27.0,Auto,,SI,3.0L,6,,,""
Sedan/Wagon,NSX,2020,Acura,Hybrid Electric,,,,,21.0,22.0,21.0,Auto,,SI,3.5L,6,,,""
Sedan/Wagon,RLX,2020,Acura,Hybrid Electric,,,,,28.0,29.0,28.0,Auto,,SI,3.5L,6,,,""
Sedan/Wagon,A6 Allroad,2020,Audi,Hybrid Electric,,,,,20.0,26.0,22.0,Auto,,SI,3.0L,6,,,""
Sedan/Wagon,A6 quattro,2020,Audi,Hybrid Electric,,,,,22.0,29.0,24.0,Auto,,SI,3.0L,6,,,""
Sedan/Wagon,A6 quattro,2020,Audi,Hybrid Electric,,,,,24.0,32.0,27.0,Auto,,SI,2.0L,4,,,""
Sedan/Wagon,A7 quattro,2020,Audi,Hybrid Electric,,,,,22.0,29.0,24.0,Auto,,SI,3.0L,6,,,""
Sedan/Wagon,A8L,2020,Audi,Hybrid Electric,,,,,17.0,26.0,21.0,Auto,,SI,3.0L,6,,,""
Sedan/Wagon,A8L,2020,Audi,Hybrid Electric,,,,,15.0,23.0,18.0,Auto,,SI,4.0L,6,,,""
Sedan/Wagon,A8L,2020,Audi,Plug-in Hybrid Electric,17,,,54.0,21.0,27.0,23.0,Auto,,SI,3.0L,6,,,""
SUV,e-tron Sportback,2020,Audi,Electric,218,76.0,78.0,77.0,,,,Auto,,e-motor,141 kW and 172 kW electric motor,,,,""
Sedan/Wagon,Q5,2020,Audi,Plug-in Hybrid Electric,20,,,65.0,25.0,29.0,27.0,Auto,,SI,2.0L,4,,,""
Sedan/Wagon,Q7,2020,Audi,Hybrid Electric,,,,,17.0,21.0,18.0,Auto,,SI,3.0L,6,,,""
Sedan/Wagon,Q8,2020,Audi,Hybrid Electric,,,,,17.0,21.0,18.0,Auto,,SI,3.0L,6,,,""
SUV,RS Q8,2020,Audi,Hybrid Electric,,,,,13.0,19.0,15.0,Auto,,SI,4.0L,8,,,""
Sedan/Wagon,S6,2020,Audi,Hybrid Electric,,,,,18.0,28.0,22.0,Auto,,SI,2.9L,6,,,""
Sedan/Wagon,S7,2020,Audi,Hybrid Electric,,,,,18.0,28.0,22.0,Auto,,SI,2.9L,6,,,""
Sedan/Wagon,S8,2020,Audi,Hybrid Electric,,,,,13.0,22.0,16.0,Auto,,SI,4.0L,6,,,""
SUV,Bentayga,2020,Bentley Motors,Plug-in Hybrid Electric,18,,,45.0,17.0,21.0,19.0,Auto,,SI,3.0L,6,,,""
Sedan/Wagon,530e,2020,BMW,Plug-in Hybrid Electric,21,,,69.0,25.0,31.0,27.0,Auto,,SI,2.0L,4,,,""
Sedan/Wagon,530e xDrive,2020,BMW,Plug-in Hybrid Electric,19,,,65.0,23.0,29.0,25.0,Auto,,SI,2.0L,4,,,""
Sedan/Wagon,745e xDrive,2020,BMW,Plug-in Hybrid Electric,16,,,56.0,19.0,26.0,22.0,Auto,,SI,3.0L,6,,,""
Sedan/Wagon,i3,2020,BMW,Electric,153,124.0,102.0,113.0,,,,Auto,,e-motor,125 kW electric motor,,,,""
Sedan/Wagon,i3s,2020,BMW,Electric,153,124.0,102.0,113.0,,,,Auto,,e-motor,135 kW electric motor,,,,""
Sedan/Wagon,i3s with Range Extender,2020,BMW,Plug-in Hybrid Electric,126,,,100.0,30.0,31.0,31.0,Auto,,SI,135 kW,,,,""
Sedan/Wagon,i3 with Range Extender,2020,BMW,Plug-in Hybrid Electric,126,,,100.0,30.0,31.0,31.0,Auto,,SI,125 kW,,,,""
Sedan/Wagon,i8 Coupe,2020,BMW,Plug-in Hybrid Electric,18,,,69.0,26.0,29.0,27.0,Auto,,SI,1.5L,3,,,""
Sedan/Wagon,i8 Roadster,2020,BMW,Plug-in Hybrid Electric,18,,,69.0,26.0,29.0,27.0,Auto,,SI,1.5L,3,,,""
SUV,X3 xDrive30e,2020,BMW,Plug-in Hybrid Electric,18,,,60.0,21.0,27.0,24.0,Auto,,SI,2.0L,4,,,""
Sedan/Wagon,Bolt EV,2020,Chevrolet,Electric,259,127.0,108.0,118.0,,,,"",,e-motor,150 kW electric motor,,,,""
Pickup,Colorado 2WD,2020,Chevrolet,Biodiesel (B20),,,,,20.0,30.0,23.0,Auto,,CI,2.8L,4,,,""
Pickup,Colorado 4WD,2020,Chevrolet,Biodiesel (B20),,,,,19.0,28.0,22.0,Auto,,CI,2.8L,4,,,""
Pickup,Colorado ZR2 4WD,2020,Chevrolet,Biodiesel (B20),,,,,18.0,22.0,19.0,Auto,,CI,2.8L,4,,,""
Van,Express 2500,2020,Chevrolet,CNG - Bi-fuel,,,,,,,,Auto,,SI,6.0L,8,,,"GM offers a 6.0L ""prep ready"" engine for organizations wanting to convert this vehicle to natural gas operation."
Van,Express 2500,2020,Chevrolet,Propane - Bi-fuel,,,,,,,,Auto,,SI,6.0L,8,,,"GM offers a 6.0L ""prep ready"" engine for organizations wanting to convert this vehicle to propane operation."
Van,Express 2500,2020,Chevrolet,CNG - Compressed Natural Gas,,,,,,,,Auto,,SI,6.0L,8,,,"GM offers a 6.0L ""prep ready"" engine for organizations wanting to convert this vehicle to natural gas operation."
Van,Express 2500,2020,Chevrolet,Propane,,,,,,,,Auto,,SI,6.0L,8,,,"GM offers a 6.0L ""prep ready"" engine for organizations wanting to convert this vehicle to propane operation."
Sedan/Wagon,Impala,2020,Chevrolet,Ethanol (E85),,14.0,20.0,16.0,18.0,28.0,22.0,Auto,,SI,3.6L,6,,,""
Pickup,Silverado 2WD,2020,Chevrolet,Ethanol (E85),,11.0,14.0,12.0,15.0,19.0,16.0,Auto,,SI,5.3L,8,,,""
Pickup,Silverado 2WD,2020,Chevrolet,Biodiesel (B20),,,,,23.0,33.0,27.0,Auto,,CI,3.0L,6,,,""
Pickup,Silverado 4WD,2020,Chevrolet,Biodiesel (B20),,,,,23.0,29.0,25.0,Auto,,CI,3.0L,6,,,""
Pickup,Silverado 4WD,2020,Chevrolet,Ethanol (E85),,11.0,13.0,12.0,14.0,18.0,16.0,Auto,,SI,5.3L,8,,,""
SUV,Suburban C1500 2WD,2020,Chevrolet,Ethanol (E85),,11.0,17.0,13.0,15.0,22.0,18.0,Auto,,SI,5.3L,8,,,""
SUV,Suburban K1500 4WD,2020,Chevrolet,Ethanol (E85),,11.0,16.0,12.0,14.0,21.0,16.0,Auto,,SI,5.3L,8,,,""
SUV,Tahoe C1500 2WD,2020,Chevrolet,Ethanol (E85),,11.0,17.0,13.0,15.0,22.0,18.0,Auto,,SI,5.3L,8,,,""
SUV,Tahoe K1500 4WD,2020,Chevrolet,Ethanol (E85),,11.0,16.0,13.0,15.0,21.0,17.0,Auto,,SI,5.3L,8,,,""
Van,Pacifica Hybrid,2020,Chrysler,Plug-in Hybrid Electric,32,82.0,,,29.0,30.0,30.0,Auto,,SI,3.6L,6,,,""
Sedan/Wagon,Escape AWD HEV,2020,Ford,Hybrid Electric,,,,,43.0,37.0,40.0,Auto,,SI,2.5L I4,4,,,""
Sedan/Wagon,Escape FWD HEV,2020,Ford,Hybrid Electric,,,,,44.0,37.0,41.0,Auto,,SI,2.5L I4,4,,,""
SUV,Escape FWD PHEV,2020,Ford,Plug-in Hybrid Electric,38,,,100.0,43.0,38.0,41.0,Auto,,SI,2.5L,4,,,""
SUV,Explorer AWD FFV,2020,Ford,Ethanol (E85),,11.0,15.0,13.0,16.0,23.0,19.0,Auto,,SI,3.5L,6,,,""
SUV,Explorer HEV AWD,2020,Ford,Hybrid Electric,,,,,23.0,26.0,25.0,Auto,,SI,3.3L V6,6,,,""
SUV,Explorer HEV RWD,2020,Ford,Hybrid Electric,,,,,27.0,29.0,28.0,Auto,,SI,3.3L V6,6,,,""
Pickup,F-150 2WD,2020,Ford,Biodiesel (B20),,,,,21.0,29.0,24.0,Auto,,CI,3.0L,6,,,""
Pickup,F-150 2WD/4WD,2020,Ford,Propane,,,,,,,,Auto,,SI,5.0L,8,,,"Ford offers a “prep package” for this vehicle. An approved qualified vehicle modifier (QVM) can convert the vehicle to run on propane for delivery through select Ford dealerships, without impacting OEM warranties or service agreements."
Pickup,F-150 2WD/4WD,2020,Ford,CNG - Compressed Natural Gas,,,,,,,,Auto,,SI,5.0L,8,,,"Ford offers a “prep package” for this vehicle. An approved qualified vehicle modifier (QVM) can convert the vehicle to run on CNG for delivery through select Ford dealerships, without impacting OEM warranties or service agreements."
Pickup,F-150 2WD/4WD,2020,Ford,Propane - Bi-fuel,,,,,,,,Auto,,SI,5.0L,8,,,"Ford offers a “prep package” for this vehicle. An approved qualified vehicle modifier (QVM) can convert the vehicle to run on propane for delivery through select Ford dealerships, without impacting OEM warranties or service agreements."
Pickup,F-150 2WD/4WD,2020,Ford,CNG - Bi-fuel,,,,,,,,Auto,,SI,5.0L,8,,,"Ford offers a “prep package” for this vehicle. An approved qualified vehicle modifier (QVM) can convert the vehicle to run on CNG for delivery through select Ford dealerships, without impacting OEM warranties or service agreements."
Pickup,F-150 2WD/4WD,2020,Ford,Plug-in Hybrid Electric,,,,,,,,Auto,,"","2.7L, 3.3L",6,,,"This vehicle is available with a plug-in hybrid electric power train developed and installed by XL, an approved qualified vehicle modifier (QVM). It is available for delivery through select Ford dealerships, without impacting OEM warranties or service agreements."
Pickup,F-150 2WD FFV,2020,Ford,Ethanol (E85),,12.0,17.0,14.0,17.0,23.0,19.0,Auto,,SI,5.0L,8,,,""
Pickup,F-150 2WD FFV,2020,Ford,Ethanol (E85),,14.0,19.0,16.0,19.0,25.0,22.0,Auto,,SI,3.3L,6,,,""
Pickup,F-150 4WD,2020,Ford,Biodiesel (B20),,,,,20.0,25.0,22.0,Auto,,CI,3.0L,6,,,""
Pickup,F-150 4WD FFV,2020,Ford,Ethanol (E85),,12.0,15.0,13.0,15.0,21.0,18.0,Auto,,SI,5.0L,8,,,""
Pickup,F-150 4WD FFV,2020,Ford,Ethanol (E85),,13.0,17.0,15.0,18.0,23.0,20.0,Auto,,SI,3.3L,6,,,""
Pickup,F-150 4WD XL/XLT,2020,Ford,Biodiesel (B20),,,,,21.0,29.0,24.0,Auto,,CI,3.0L,6,,,""
Sedan/Wagon,Fusion Energi Plug in Hybrid FWD,2020,Ford,Plug-in Hybrid Electric,26,,,103.0,43.0,40.0,42.0,Auto,,SI,2.0L,4,,,""
Sedan/Wagon,Fusion Hybrid FWD,2020,Ford,Hybrid Electric,,,,,43.0,41.0,42.0,Auto,,SI,2.0L I4,4,,,""
Sedan/Wagon,Fusion Hybrid TAXI,2020,Ford,Hybrid Electric,,,,,43.0,40.0,41.0,Auto,,SI,2.0L I4,4,,,""
Sedan/Wagon,Fusion Special Service PHEV,2020,Ford,Plug-in Hybrid Electric,26,,,102.0,43.0,40.0,42.0,Auto,,SI,2.0L,4,,,""
Pickup,Super Duty F-250,2020,Ford,Ethanol (E85),,,,,,,,Auto,,SI,6.2L,8,,,""
Pickup,Super Duty F-250 2WD/4WD,2020,Ford,Propane,,,,,,,,Auto,,SI,"6.2L, 7.3L",8,,,"Ford offers a “prep package” for this vehicle. An approved qualified vehicle modifier (QVM) can convert the vehicle to run on propane for delivery through select Ford dealerships, without impacting OEM warranties or service agreements."
Pickup,Super Duty F-250 2WD/4WD,2020,Ford,Plug-in Hybrid Electric,,,,,,,,Auto,,SI,7.3L,8,,,"This vehicle is available with a plug-in hybrid electric power train developed and installed by XL, an approved qualified vehicle modifier (QVM). It is available for delivery through select Ford dealerships, without impacting OEM warranties or service agreements."
Pickup,Super Duty F-250 2WD/4WD,2020,Ford,Propane - Bi-fuel,,,,,,,,Auto,,SI,"6.2L, 7.3L",8,,,"Ford offers a “prep package” for this vehicle. An approved qualified vehicle modifier (QVM) can convert the vehicle to run on propane for delivery through select Ford dealerships, without impacting OEM warranties or service agreements."
Pickup,Super Duty F-250 2WD/4WD,2020,Ford,CNG - Compressed Natural Gas,,,,,,,,Auto,,SI,"6.2L, 7.3L",8,,,"Ford offers a “prep package” for this vehicle. An approved qualified vehicle modifier (QVM) can convert the vehicle to run on CNG for delivery through select Ford dealerships, without impacting OEM warranties or service agreements."
Pickup,Super Duty F-250 2WD/4WD,2020,Ford,Biodiesel (B20),,,,,,,,Auto,,CI,6.7L,8,,,""
Pickup,Super Duty F-250 2WD/4WD,2020,Ford,Hybrid Electric,,,,,,,,Auto,,SI,7.3L V8,8,,,"This vehicle is available with a hybrid electric power train developed and installed by XL, an approved qualified vehicle modifier (QVM). It is available for delivery through select Ford dealerships, without impacting OEM warranties or service agreements."
Pickup,Super Duty F-250 2WD/4WD,2020,Ford,CNG - Bi-fuel,,,,,,,,Auto,,SI,"6.2L, 7.3L",8,,,"Ford offers a “prep package” for this vehicle. An approved qualified vehicle modifier (QVM) can convert the vehicle to run on CNG for delivery through select Ford dealerships, without impacting OEM warranties or service agreements."
Van,Transit Cargo Van,2020,Ford,Electric,120,,,,,,,Auto,,e-motor,160 kW electric motor,,,,"This vehicle is available with an electric power train developed and installed by Lightning eMotors, an approved qualified vehicle modifier (QVM). It is available for delivery through select Ford dealerships, without impacting OEM warranties or service agreements."
Van,Transit Cargo Van,2020,Ford,Electric,60,,,,,,,Auto,,e-motor,160 kW electric motor,,,,"This vehicle is available with an electric power train developed and installed by Lightning eMotors, an approved qualified vehicle modifier (QVM). It is available for delivery through select Ford dealerships, without impacting OEM warranties or service agreements."
Van,Transit Cargo Van,2020,Ford,Hybrid Electric,,,,,,,,Auto,,SI,3.5L V6,6,,,"This vehicle is available with a hybrid electric power train developed and installed by XL, an approved qualified vehicle modifier (QVM). It is available for delivery through select Ford dealerships, without impacting OEM warranties or service agreements."
Van,Transit Connect Van FFV,2020,Ford,Ethanol (E85),,18.0,20.0,19.0,24.0,27.0,25.0,Auto,,SI,2.0L,4,,,This vehicle is only available in certain states. See dealer for details.
Van,Transit Connect Van/Wagon,2020,Ford,CNG - Compressed Natural Gas,,,,,,,,Auto,,SI,2.5L,4,,,"Ford offers a “prep package” for this vehicle. An approved qualified vehicle modifier (QVM) can convert the vehicle to run on CNG for delivery through select Ford dealerships, without impacting OEM warranties or service agreements."
Van,Transit Connect Van/Wagon,2020,Ford,CNG - Bi-fuel,,,,,,,,Auto,,SI,2.5L,4,,,"Ford offers a “prep package” for this vehicle. An approved qualified vehicle modifier (QVM) can convert the vehicle to run on CNG for delivery through select Ford dealerships, without impacting OEM warranties or service agreements."
Van,Transit Connect Wagon LWB FFV,2020,Ford,Ethanol (E85),,17.0,21.0,19.0,24.0,29.0,26.0,Auto,,SI,2.0L,4,,,This vehicle is only available in certain states. See dealer for details.
Passenger Van/Shuttle Bus,Transit Passenger Van,2020,Ford,Electric,60,,,,,,,Auto,,e-motor,160 kW electric motor,,,,"This vehicle is available with an electric power train developed and installed by Lightning eMotors, an approved qualified vehicle modifier (QVM). It is available for delivery through select Ford dealerships, without impacting OEM warranties or service agreements."
Passenger Van/Shuttle Bus,Transit Passenger Van,2020,Ford,Electric,120,,,,,,,Auto,,e-motor,160 kW electric motor,,,,"This vehicle is available with an electric power train developed and installed by Lightning eMotors, an approved qualified vehicle modifier (QVM). It is available for delivery through select Ford dealerships, without impacting OEM warranties or service agreements."
Passenger Van/Shuttle Bus,Transit Passenger Van,2020,Ford,Hybrid Electric,,,,,,,,Auto,,SI,3.5L V6,6,,,"This vehicle is available with a hybrid electric power train developed and installed by XL, an approved qualified vehicle modifier (QVM). It is available for delivery through select Ford dealerships, without impacting OEM warranties or service agreements."
Van,Transit T150 Cargo Van 2WD FFV,2020,Ford,Ethanol (E85),,11.0,15.0,12.0,15.0,19.0,17.0,Auto,,SI,3.5L,,,,""
Van,Transit T150 Cargo Van 4WD FFV,2020,Ford,Ethanol (E85),,11.0,14.0,12.0,14.0,19.0,16.0,Auto,,SI,3.5L,,,,""
Passenger Van/Shuttle Bus,Transit T150 Passenger Van 2WD FFV,2020,Ford,Ethanol (E85),,11.0,15.0,12.0,15.0,19.0,17.0,Auto,,SI,3.5L,,,,""
Passenger Van/Shuttle Bus,Transit T150 Passenger Van 4WD FFV,2020,Ford,Ethanol (E85),,11.0,14.0,12.0,14.0,19.0,16.0,Auto,,SI,3.5L,,,,""
Pickup,Canyon 2WD,2020,GMC,Biodiesel (B20),,,,,20.0,30.0,23.0,Auto,,CI,2.8L,4,,,""
Pickup,Canyon 4WD,2020,GMC,Biodiesel (B20),,,,,19.0,28.0,22.0,Auto,,CI,2.8L,4,,,""
Van,Savana 2500,2020,GMC,CNG - Compressed Natural Gas,,,,,,,,Auto,,SI,6.0L,8,,,"GM offers a 6.0L ""prep ready"" engine for organizations wanting to convert this vehicle to natural gas operation."
Van,Savana 2500,2020,GMC,CNG - Bi-fuel,,,,,,,,Auto,,SI,6.0L,8,,,"GM offers a 6.0L ""prep ready"" engine for organizations wanting to convert this vehicle to natural gas operation."
Van,Savana 2500,2020,GMC,Propane - Bi-fuel,,,,,,,,Auto,,SI,6.0L,8,,,"GM offers a 6.0L ""prep ready"" engine for organizations wanting to convert this vehicle to propane operation."
Van,Savana 2500,2020,GMC,Propane,,,,,,,,Auto,,SI,6.0L,8,,,"GM offers a 6.0L ""prep ready"" engine for organizations wanting to convert this vehicle to propane operation."
Pickup,Sierra 2WD,2020,GMC,Biodiesel (B20),,,,,23.0,30.0,26.0,Auto,,CI,3.0L,6,,,""
Pickup,Sierra 2WD,2020,GMC,Ethanol (E85),,11.0,14.0,12.0,15.0,19.0,16.0,Auto,,SI,5.3L,8,,,""
